OCC_CODE,AREA_TITLE,A_MEDIAN
11-2011,Alabama,"64,640"
11-2021,Alabama,"120,160"
11-2032,Alabama,"98,210"
11-2033,Alabama,"83,700"
13-1161,Alabama,"59,530"
27-1011,Alabama,"77,220"
27-2012,Alabama,"63,340"
27-3023,Alabama,"43,440"
27-3031,Alabama,"61,710"
27-3041,Alabama,"63,330"
27-4011,Alabama,"50,160"
27-4031,Alabama,"61,800"
27-4032,Alabama,"74,410"
41-3011,Alabama,"50,870"
11-2021,Alaska,"116,270"
11-2032,Alaska,"120,920"
11-2033,Alaska,"103,090"
13-1161,Alaska,"66,710"
27-1011,Alaska,"75,200"
27-2012,Alaska,"54,060"
27-3023,Alaska,"43,820"
27-3031,Alaska,"70,050"
27-3041,Alaska,"63,630"
27-4011,Alaska,"62,060"
27-4031,Alaska,"83,620"
27-4032,Alaska,"38,800"
41-3011,Alaska,"43,840"
11-2021,Arizona,"132,220"
11-2032,Arizona,"114,400"
11-2033,Arizona,"116,470"
13-1161,Arizona,"71,940"
27-1014,Arizona,"89,650"
27-2012,Arizona,"67,320"
27-3023,Arizona,"43,100"
27-3031,Arizona,"66,710"
27-3041,Arizona,"63,090"
27-4011,Arizona,"47,140"
27-4014,Arizona,"66,350"
27-4031,Arizona,"68,250"
27-4032,Arizona,"45,840"
41-3011,Arizona,"62,050"
11-2011,Arkansas,"74,880"
11-2021,Arkansas,"136,520"
11-2032,Arkansas,"104,170"
11-2033,Arkansas,"71,110"
13-1161,Arkansas,"65,430"
27-1011,Arkansas,"71,930"
27-2012,Arkansas,"38,820"
27-3023,Arkansas,"37,450"
27-3031,Arkansas,"65,000"
27-3041,Arkansas,"50,180"
27-4011,Arkansas,"43,910"
27-4031,Arkansas,"48,680"
27-4032,Arkansas,"48,480"
41-3011,Arkansas,"49,120"
11-2011,California,"167,230"
11-2021,California,"193,620"
11-2032,California,"167,980"
11-2033,California,"135,870"
13-1161,California,"94,700"
27-1011,California,"137,780"
27-1014,California,"130,540"
27-2012,California,"129,790"
27-3031,California,"85,030"
27-3041,California,"98,030"
27-4011,California,"64,620"
27-4014,California,"78,150"
27-4031,California,"106,900"
27-4032,California,"88,490"
41-3011,California,"80,360"
11-2011,Colorado,"164,990"
11-2021,Colorado,"182,730"
11-2032,Colorado,"162,870"
11-2033,Colorado,"130,010"
13-1161,Colorado,"93,050"
27-1011,Colorado,"99,990"
27-1014,Colorado,"91,290"
27-2012,Colorado,"78,060"
27-3023,Colorado,"60,770"
27-3031,Colorado,"80,680"
27-3041,Colorado,"77,870"
27-4011,Colorado,"56,790"
27-4014,Colorado,"60,630"
27-4031,Colorado,"74,990"
27-4032,Colorado,"84,620"
41-3011,Colorado,"73,420"
11-2011,Connecticut,"129,280"
11-2021,Connecticut,"169,240"
11-2032,Connecticut,"154,210"
11-2033,Connecticut,"122,540"
13-1161,Connecticut,"77,740"
27-1011,Connecticut,"71,900"
27-2012,Connecticut,"88,260"
27-3023,Connecticut,"61,620"
27-3031,Connecticut,"84,990"
27-3041,Connecticut,"85,950"
27-4011,Connecticut,"62,120"
27-4014,Connecticut,"72,800"
27-4031,Connecticut,"65,630"
27-4032,Connecticut,"83,550"
41-3011,Connecticut,"61,820"
11-2032,Delaware,"153,010"
11-2033,Delaware,"131,750"
13-1161,Delaware,"101,270"
27-2012,Delaware,"72,650"
27-3023,Delaware,"55,600"
27-3031,Delaware,"76,120"
27-3041,Delaware,"75,020"
27-4011,Delaware,"59,700"
41-3011,Delaware,"52,480"
11-2011,District of Columbia,"143,040"
11-2021,District of Columbia,"177,170"
11-2032,District of Columbia,"197,600"
11-2033,District of Columbia,"141,720"
13-1161,District of Columbia,"98,090"
27-2012,District of Columbia,"104,270"
27-3023,District of Columbia,"105,390"
27-3031,District of Columbia,"102,740"
27-3041,District of Columbia,"83,920"
27-4011,District of Columbia,"78,770"
27-4014,District of Columbia,"106,630"
27-4031,District of Columbia,"98,300"
27-4032,District of Columbia,"98,830"
41-3011,District of Columbia,"75,030"
11-2021,Florida,"142,620"
11-2032,Florida,"127,550"
11-2033,Florida,"97,240"
13-1161,Florida,"75,450"
27-1011,Florida,"99,660"
27-1014,Florida,"85,870"
27-2012,Florida,"79,920"
27-3023,Florida,"58,730"
27-3031,Florida,"63,660"
27-3041,Florida,"73,950"
27-4011,Florida,"54,230"
27-4014,Florida,"70,360"
27-4031,Florida,"62,220"
27-4032,Florida,"60,430"
41-3011,Florida,"58,420"
11-2011,Georgia,"133,810"
11-2021,Georgia,"160,760"
11-2032,Georgia,"134,500"
11-2033,Georgia,"113,050"
13-1161,Georgia,"75,850"
27-1011,Georgia,"110,430"
27-1014,Georgia,"81,390"
27-2012,Georgia,"79,950"
27-3023,Georgia,"81,910"
27-3031,Georgia,"73,200"
27-3041,Georgia,"76,650"
27-4011,Georgia,"51,350"
27-4014,Georgia,"77,010"
27-4031,Georgia,"85,050"
27-4032,Georgia,"51,280"
41-3011,Georgia,"58,140"
11-2021,Hawaii,"117,770"
11-2032,Hawaii,"105,010"
11-2033,Hawaii,"93,910"
13-1161,Hawaii,"59,390"
27-1011,Hawaii,"89,300"
27-2012,Hawaii,"66,190"
27-3023,Hawaii,"56,730"
27-3031,Hawaii,"63,880"
27-3041,Hawaii,"55,070"
27-4011,Hawaii,"60,150"
27-4031,Hawaii,"44,230"
41-3011,Hawaii,"61,290"
11-2011,Idaho,"80,680"
11-2021,Idaho,"142,090"
11-2032,Idaho,"98,160"
11-2033,Idaho,"87,990"
13-1161,Idaho,"60,970"
27-1011,Idaho,"80,680"
27-2012,Idaho,"61,150"
27-3023,Idaho,"51,190"
27-3031,Idaho,"61,110"
27-4011,Idaho,"49,950"
27-4014,Idaho,"54,970"
27-4031,Idaho,"58,140"
27-4032,Idaho,"54,080"
41-3011,Idaho,"53,460"
11-2011,Illinois,"167,330"
11-2021,Illinois,"162,860"
11-2032,Illinois,"131,990"
11-2033,Illinois,"106,290"
13-1161,Illinois,"79,120"
27-1011,Illinois,"103,550"
27-1014,Illinois,"81,180"
27-2012,Illinois,"81,080"
27-3023,Illinois,"60,590"
27-3031,Illinois,"76,380"
27-3041,Illinois,"76,060"
27-4011,Illinois,"60,740"
27-4014,Illinois,"73,130"
27-4031,Illinois,"100,170"
27-4032,Illinois,"72,460"
41-3011,Illinois,"66,290"
11-2011,Indiana,"113,930"
11-2021,Indiana,"136,260"
11-2032,Indiana,"114,960"
11-2033,Indiana,"112,890"
13-1161,Indiana,"63,700"
27-1011,Indiana,"105,690"
27-1014,Indiana,"75,250"
27-2012,Indiana,"59,870"
27-3023,Indiana,"47,610"
27-3031,Indiana,"64,900"
27-3041,Indiana,"56,440"
27-4011,Indiana,"49,870"
27-4014,Indiana,"73,130"
27-4031,Indiana,"56,810"
27-4032,Indiana,"46,780"
41-3011,Indiana,"57,030"
11-2011,Iowa,"108,890"
11-2021,Iowa,"131,120"
11-2032,Iowa,"120,730"
11-2033,Iowa,"98,700"
13-1161,Iowa,"66,390"
27-1011,Iowa,"80,940"
27-1014,Iowa,"47,530"
27-2012,Iowa,"58,550"
27-3023,Iowa,"43,540"
27-3031,Iowa,"62,970"
27-3041,Iowa,"57,200"
27-4011,Iowa,"51,030"
27-4014,Iowa,"57,400"
27-4031,Iowa,"57,220"
41-3011,Iowa,"58,480"
11-2011,Kansas,"148,560"
11-2021,Kansas,"154,510"
11-2032,Kansas,"129,760"
11-2033,Kansas,"121,210"
13-1161,Kansas,"70,430"
27-1011,Kansas,"60,460"
27-1014,Kansas,"62,720"
27-2012,Kansas,"60,600"
27-3023,Kansas,"45,870"
27-3031,Kansas,"64,860"
27-3041,Kansas,"61,920"
27-4011,Kansas,"50,030"
27-4014,Kansas,"62,710"
27-4031,Kansas,"60,690"
27-4032,Kansas,"50,900"
41-3011,Kansas,"48,660"
11-2011,Kentucky,"107,030"
11-2021,Kentucky,"128,930"
11-2032,Kentucky,"112,320"
11-2033,Kentucky,"124,770"
13-1161,Kentucky,"61,480"
27-1011,Kentucky,"76,160"
27-1014,Kentucky,"50,970"
27-2012,Kentucky,"54,550"
27-3023,Kentucky,"47,530"
27-3031,Kentucky,"60,150"
27-3041,Kentucky,"59,430"
27-4011,Kentucky,"48,320"
27-4014,Kentucky,"74,100"
27-4031,Kentucky,"53,790"
27-4032,Kentucky,"62,330"
41-3011,Kentucky,"51,580"
11-2011,Louisiana,"78,810"
11-2021,Louisiana,"120,650"
11-2032,Louisiana,"94,380"
11-2033,Louisiana,"122,150"
13-1161,Louisiana,"59,690"
27-1011,Louisiana,"83,640"
27-2012,Louisiana,"62,920"
27-3023,Louisiana,"50,750"
27-3031,Louisiana,"60,470"
27-3041,Louisiana,"58,860"
27-4011,Louisiana,"44,480"
27-4014,Louisiana,"55,530"
27-4031,Louisiana,"58,440"
27-4032,Louisiana,"66,870"
41-3011,Louisiana,"48,810"
11-2011,Maine,"106,280"
11-2021,Maine,"135,380"
11-2032,Maine,"166,940"
11-2033,Maine,"116,470"
13-1161,Maine,"71,980"
27-1011,Maine,"100,300"
27-2012,Maine,"71,320"
27-3023,Maine,"50,090"
27-3031,Maine,"62,450"
27-3041,Maine,"50,180"
27-4011,Maine,"46,080"
27-4014,Maine,"48,380"
27-4031,Maine,"37,590"
41-3011,Maine,"48,780"
11-2011,Maryland,"107,380"
11-2021,Maryland,"154,160"
11-2032,Maryland,"149,380"
11-2033,Maryland,"130,750"
13-1161,Maryland,"76,370"
27-1011,Maryland,"98,400"
27-1014,Maryland,"85,830"
27-2012,Maryland,"79,350"
27-3023,Maryland,"63,680"
27-3031,Maryland,"79,560"
27-3041,Maryland,"75,550"
27-4011,Maryland,"70,040"
27-4014,Maryland,"79,990"
27-4031,Maryland,"65,870"
27-4032,Maryland,"78,380"
41-3011,Maryland,"59,830"
11-2011,Massachusetts,"163,090"
11-2021,Massachusetts,"212,020"
11-2032,Massachusetts,"171,740"
11-2033,Massachusetts,"151,740"
13-1161,Massachusetts,"101,810"
27-1011,Massachusetts,"149,320"
27-1014,Massachusetts,"80,640"
27-2012,Massachusetts,"80,970"
27-3031,Massachusetts,"79,660"
27-3041,Massachusetts,"83,170"
27-4014,Massachusetts,"63,250"
27-4031,Massachusetts,"61,320"
27-4032,Massachusetts,"92,130"
41-3011,Massachusetts,"80,500"
11-2011,Michigan,"101,610"
11-2021,Michigan,"138,510"
11-2032,Michigan,"117,900"
11-2033,Michigan,"113,360"
13-1161,Michigan,"66,780"
27-1011,Michigan,"86,660"
27-1014,Michigan,"86,630"
27-2012,Michigan,"65,720"
27-3023,Michigan,"62,760"
27-3031,Michigan,"65,300"
27-3041,Michigan,"63,090"
27-4011,Michigan,"58,300"
27-4014,Michigan,"51,840"
27-4031,Michigan,"55,290"
27-4032,Michigan,"59,100"
41-3011,Michigan,"64,800"
11-2011,Minnesota,"126,920"
11-2021,Minnesota,"173,300"
11-2032,Minnesota,"139,040"
11-2033,Minnesota,"126,920"
13-1161,Minnesota,"87,510"
27-1011,Minnesota,"109,700"
27-1014,Minnesota,"64,990"
27-2012,Minnesota,"76,360"
27-3023,Minnesota,"46,490"
27-3031,Minnesota,"68,620"
27-3041,Minnesota,"62,650"
27-4011,Minnesota,"53,800"
27-4031,Minnesota,"51,420"
27-4032,Minnesota,"53,150"
41-3011,Minnesota,"62,660"
11-2011,Mississippi,"66,520"
11-2021,Mississippi,"100,940"
11-2032,Mississippi,"97,160"
11-2033,Mississippi,"82,620"
13-1161,Mississippi,"56,640"
27-1011,Mississippi,"66,020"
27-2012,Mississippi,"48,100"
27-3023,Mississippi,"45,240"
27-3031,Mississippi,"59,810"
27-3041,Mississippi,"54,380"
27-4011,Mississippi,"43,500"
27-4031,Mississippi,"49,920"
27-4032,Mississippi,"50,410"
41-3011,Mississippi,"46,810"
11-2011,Missouri,"81,520"
11-2021,Missouri,"130,550"
11-2032,Missouri,"114,710"
11-2033,Missouri,"111,120"
13-1161,Missouri,"70,140"
27-1011,Missouri,"100,940"
27-1014,Missouri,"65,470"
27-2012,Missouri,"66,460"
27-3023,Missouri,"46,920"
27-3031,Missouri,"61,130"
27-3041,Missouri,"61,620"
27-4011,Missouri,"50,680"
27-4014,Missouri,"61,750"
27-4032,Missouri,"57,950"
41-3011,Missouri,"61,440"
11-2011,Montana,"131,770"
11-2021,Montana,"165,580"
11-2032,Montana,"99,990"
13-1161,Montana,"68,080"
27-1011,Montana,"73,850"
27-2012,Montana,"52,580"
27-3023,Montana,"47,960"
27-3031,Montana,"63,780"
27-3041,Montana,"61,750"
27-4011,Montana,"46,700"
27-4014,Montana,"57,600"
27-4031,Montana,"50,910"
27-4032,Montana,"42,520"
41-3011,Montana,"46,040"
11-2011,Nebraska,"106,380"
11-2021,Nebraska,"110,570"
11-2032,Nebraska,"104,440"
11-2033,Nebraska,"97,230"
13-1161,Nebraska,"60,000"
27-1011,Nebraska,"73,270"
27-1014,Nebraska,"50,830"
27-2012,Nebraska,"52,580"
27-3023,Nebraska,"40,420"
27-3031,Nebraska,"61,780"
27-3041,Nebraska,"46,320"
27-4011,Nebraska,"50,660"
27-4014,Nebraska,"63,810"
27-4031,Nebraska,"46,180"
27-4032,Nebraska,"55,810"
41-3011,Nebraska,"62,890"
11-2021,Nevada,"107,550"
11-2032,Nevada,"114,130"
11-2033,Nevada,"106,420"
13-1161,Nevada,"71,840"
27-1011,Nevada,"98,070"
27-1014,Nevada,"97,350"
27-2012,Nevada,"78,480"
27-3023,Nevada,"78,550"
27-3031,Nevada,"73,840"
27-3041,Nevada,"72,510"
27-4011,Nevada,"62,770"
27-4014,Nevada,"84,570"
27-4031,Nevada,"62,110"
27-4032,Nevada,"65,720"
11-2011,New Hampshire,"120,530"
11-2021,New Hampshire,"143,280"
11-2032,New Hampshire,"132,660"
11-2033,New Hampshire,"157,080"
13-1161,New Hampshire,"64,570"
27-1011,New Hampshire,"132,000"
27-2012,New Hampshire,"61,560"
27-3023,New Hampshire,"48,450"
27-3031,New Hampshire,"73,280"
27-3041,New Hampshire,"66,510"
27-4011,New Hampshire,"56,180"
27-4014,New Hampshire,"65,630"
27-4031,New Hampshire,"45,880"
27-4032,New Hampshire,"61,250"
41-3011,New Hampshire,"54,870"
11-2011,New Jersey,"165,390"
11-2021,New Jersey,"180,040"
11-2032,New Jersey,"174,980"
11-2033,New Jersey,"140,500"
13-1161,New Jersey,"88,190"
27-1011,New Jersey,"129,200"
27-2012,New Jersey,"119,840"
27-3023,New Jersey,"59,830"
27-3031,New Jersey,"80,130"
27-3041,New Jersey,"81,680"
27-4011,New Jersey,"71,040"
27-4014,New Jersey,"115,190"
27-4032,New Jersey,"82,890"
41-3011,New Jersey,"69,620"
11-2021,New Mexico,"122,980"
11-2032,New Mexico,"115,260"
11-2033,New Mexico,"101,680"
13-1161,New Mexico,"61,950"
27-1014,New Mexico,"54,000"
27-3023,New Mexico,"54,610"
27-3031,New Mexico,"68,700"
27-3041,New Mexico,"64,250"
27-4011,New Mexico,"47,070"
27-4014,New Mexico,"45,690"
27-4031,New Mexico,"49,050"
27-4032,New Mexico,"49,400"
41-3011,New Mexico,"45,620"
11-2011,New York,"173,700"
11-2021,New York,"181,200"
11-2032,New York,"180,880"
11-2033,New York,"169,510"
13-1161,New York,"98,580"
27-1011,New York,"137,320"
27-1014,New York,"96,770"
27-2012,New York,"107,550"
27-3023,New York,"100,770"
27-3031,New York,"81,250"
27-3041,New York,"101,480"
27-4011,New York,"67,600"
27-4014,New York,"87,510"
27-4031,New York,"93,410"
27-4032,New York,"103,440"
41-3011,New York,"98,360"
11-2011,North Carolina,"121,730"
11-2021,North Carolina,"165,480"
11-2032,North Carolina,"132,280"
11-2033,North Carolina,"125,870"
13-1161,North Carolina,"78,410"
27-1011,North Carolina,"90,000"
27-1014,North Carolina,"88,350"
27-2012,North Carolina,"63,700"
27-3023,North Carolina,"58,670"
27-3031,North Carolina,"67,230"
27-3041,North Carolina,"73,740"
27-4011,North Carolina,"46,700"
27-4014,North Carolina,"49,150"
27-4031,North Carolina,"62,720"
27-4032,North Carolina,"60,020"
11-2021,North Dakota,"125,580"
11-2032,North Dakota,"114,110"
11-2033,North Dakota,"121,750"
13-1161,North Dakota,"61,580"
27-1011,North Dakota,"83,170"
27-2012,North Dakota,"57,870"
27-3023,North Dakota,"43,420"
27-3031,North Dakota,"70,280"
27-3041,North Dakota,"60,520"
27-4011,North Dakota,"50,110"
27-4031,North Dakota,"53,650"
41-3011,North Dakota,"50,110"
11-2011,Ohio,"102,110"
11-2021,Ohio,"132,330"
11-2032,Ohio,"118,670"
11-2033,Ohio,"101,470"
13-1161,Ohio,"72,790"
27-1011,Ohio,"94,390"
27-1014,Ohio,"67,000"
27-2012,Ohio,"69,350"
27-3023,Ohio,"47,880"
27-3031,Ohio,"64,840"
27-3041,Ohio,"72,160"
27-4011,Ohio,"49,890"
27-4014,Ohio,"64,030"
27-4031,Ohio,"64,860"
27-4032,Ohio,"56,410"
41-3011,Ohio,"50,410"
11-2021,Oklahoma,"126,920"
11-2032,Oklahoma,"96,030"
11-2033,Oklahoma,"122,100"
13-1161,Oklahoma,"61,940"
27-1011,Oklahoma,"80,680"
27-1014,Oklahoma,"66,980"
27-2012,Oklahoma,"61,600"
27-3023,Oklahoma,"48,210"
27-3031,Oklahoma,"64,920"
27-3041,Oklahoma,"50,780"
27-4011,Oklahoma,"49,010"
27-4031,Oklahoma,"48,620"
27-4032,Oklahoma,"55,210"
41-3011,Oklahoma,"57,670"
11-2011,Oregon,"154,490"
11-2021,Oregon,"161,560"
11-2032,Oregon,"131,190"
11-2033,Oregon,"103,870"
13-1161,Oregon,"79,150"
27-1011,Oregon,"133,840"
27-2012,Oregon,"87,460"
27-3023,Oregon,"49,200"
27-3031,Oregon,"74,900"
27-3041,Oregon,"71,540"
27-4011,Oregon,"52,000"
27-4032,Oregon,"72,300"
41-3011,Oregon,"62,810"
11-2011,Pennsylvania,"122,940"
11-2021,Pennsylvania,"150,810"
11-2032,Pennsylvania,"118,050"
11-2033,Pennsylvania,"111,280"
13-1161,Pennsylvania,"68,760"
27-1011,Pennsylvania,"97,450"
27-1014,Pennsylvania,"71,760"
27-2012,Pennsylvania,"75,460"
27-3031,Pennsylvania,"57,460"
27-3041,Pennsylvania,"63,460"
27-4011,Pennsylvania,"56,890"
27-4014,Pennsylvania,"49,490"
27-4031,Pennsylvania,"51,760"
41-3011,Pennsylvania,"58,350"
11-2011,Rhode Island,"157,890"
11-2032,Rhode Island,"156,080"
11-2033,Rhode Island,"155,970"
13-1161,Rhode Island,"86,240"
27-1011,Rhode Island,"72,550"
27-1014,Rhode Island,"80,040"
27-2012,Rhode Island,"84,250"
27-3023,Rhode Island,"74,570"
27-3031,Rhode Island,"77,540"
27-3041,Rhode Island,"77,960"
27-4011,Rhode Island,"64,070"
27-4031,Rhode Island,"49,790"
41-3011,Rhode Island,"48,040"
11-2011,South Carolina,"156,300"
11-2021,South Carolina,"143,290"
11-2032,South Carolina,"104,920"
11-2033,South Carolina,"103,240"
13-1161,South Carolina,"69,440"
27-1011,South Carolina,"87,990"
27-2012,South Carolina,"56,030"
27-3023,South Carolina,"47,940"
27-3031,South Carolina,"62,730"
27-3041,South Carolina,"62,000"
27-4011,South Carolina,"52,000"
27-4014,South Carolina,"45,240"
27-4031,South Carolina,"57,940"
41-3011,South Carolina,"68,200"
