Course_ID,Course_Number,Title,Description,Credits,Tier,Counts_For,Track_Journalism_Pct,Track_Production_Pct,Track_Strategic_Pct,Advertising and Promotions Managers,Marketing Managers,Public Relations Managers,Fundraising Managers,Market Research Analysts and Marketing Specialists,Search Marketing Strategists,Art Directors,Special Effects Artists and Animators,Producers and Directors,Media Programming Directors,Media Technical Directors/Managers,"News Analysts, Reporters, and Journalists",Public Relations Specialists,Editors,Audio and Video Technicians,Sound Engineering Technicians,"Camera Operators, Television, Video, and Film",Film and Video Editors,Advertising Sales Agents
MC103,MC 103,Science & Media Literacy,"General education course covering science literacy, media literacy and the intersection of the two.",3,elective,elective,,,,28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,28.0,28.0,28.0,14.0,14.0,14.0,28.0,28.0
MC201,MC 201,Mass Media in Society,"Analysis of mass media focusing on technological, economic, governmental, and societal impact.",3,intro_core,all,34,33,33,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.8,23.1,23.8,23.1,23.1,23.1,23.8,23.1
MC202,MC 202,Writing for the Media,"Introduction to media writing styles and techniques including writing news stories, audio & video scripts, social media, advertising and public relations content.",3,intro_core,all,40,20,40,28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,58.0,28.0,58.0,14.0,14.0,14.0,58.0,28.0
MC204,MC 204,Intro to Audio and Video Production,Planning and realization of audio and video productions; studio techniques; audio and video non-linear editing.,3,intro_core,all,20,60,20,14.0,14.0,14.0,14.0,14.0,14.0,72.0,72.0,72.0,72.0,72.0,14.0,14.0,14.0,72.0,72.0,72.0,14.0,14.0
MC301,MC 301,Advanced Audio Production,Professional audio production across digital media platforms.,3,intermediate_core,production,10,80,10,7.0,7.0,7.0,7.0,7.0,7.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,100.0,100.0,86.0,7.0,7.0
MC321,MC 321,Feature Writing,Learn the essentials of writing and researching feature news pieces.,3,track_elective,journalism,80,10,10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,86.0,7.0,7.0,7.0,86.0,7.0
MC322,MC 322,Copy Editing For News Media,Students build professional news editing skills.,3,track_required,journalism,80,10,10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,100.0,7.0,7.0,7.0,100.0,7.0
MC323,MC 323,Digital Publishing and Design,Digital publication design and production of layouts.,3,intermediate_core,journalism|strategic,40,30,30,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,28.0,21.0,21.0,21.0,28.0,21.0
MC324,MC 324,Advanced News Reporting,Reporting for print and digital media about local and state government.,3,track_required,journalism,90,5,5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,93.0,3.5,93.0,3.5,3.5,3.5,93.0,3.5
MC325,MC 325,Fundamentals of Advertising,Provides an overview of advertising from the perspectives of marketing and social roles.,3,track_required,strategic,10,10,80,86.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,7.0,7.0,7.0,86.0,7.0,7.0,7.0,7.0,7.0,86.0
MC326,MC 326,Advertising Copywriting and Design,Create ads for a variety of products using professional design and copywriting techniques.,3,track_elective,strategic,10,20,70,79.0,79.0,79.0,79.0,79.0,79.0,14.0,14.0,14.0,14.0,14.0,7.0,79.0,7.0,14.0,14.0,14.0,7.0,79.0
MC327,MC 327,Essentials of Web Design,An introduction to web design and development for media professionals.,3,intermediate_core,all,30,40,30,17.5,17.5,17.5,17.5,17.5,17.5,35.0,35.0,35.0,35.0,35.0,17.5,17.5,17.5,35.0,35.0,35.0,17.5,17.5
MC328,MC 328,Social Media Content Creation,"Examines the role of creators and influencers in the social media landscape. Students learn strategies for building a personal brand, producing engaging content, and growing an audience across platforms. Prerequisite: MC 204 with a C or better.",3,track_elective,strategic,,,,,,,,,,,,,,,,,,,,,,
MC330,MC 330,Advanced Media Writing,Advanced writing techniques for various media platforms.,3,track_required,journalism|production,20,60,20,28.0,28.0,28.0,28.0,28.0,28.0,14.0,14.0,14.0,14.0,14.0,58.0,28.0,58.0,14.0,14.0,14.0,58.0,28.0
MC331,MC 331,Media Performance,"Extensive instruction and practice in media performance, including on-camera and voice work.",3,intermediate_core,production,30,50,20,14.0,14.0,14.0,14.0,14.0,14.0,65.0,65.0,65.0,65.0,65.0,21.0,14.0,21.0,65.0,65.0,65.0,21.0,14.0
MC332,MC 332,Advanced News Production,"Extensive practice in writing, producing, and presenting broadcast news.",3,intermediate_core,journalism|production,60,30,10,7.0,7.0,7.0,7.0,7.0,7.0,21.0,21.0,21.0,21.0,21.0,72.0,7.0,72.0,21.0,21.0,21.0,72.0,7.0
MC333,MC 333,Advanced Video Production,Students produce professional-quality video segments.,3,intermediate_core,production,10,80,10,7.0,7.0,7.0,7.0,7.0,7.0,86.0,86.0,86.0,86.0,86.0,7.0,7.0,7.0,100.0,86.0,100.0,27.0,7.0
MC334,MC 334,Commercial Production,"Processes and practices in copywriting and production for radio, television, and digital commercials.",3,intermediate_core,production|strategic,10,40,50,51.0,51.0,51.0,51.0,51.0,51.0,42.0,42.0,42.0,42.0,42.0,7.0,51.0,7.0,42.0,42.0,42.0,7.0,51.0
MC341,MC 341,Sports Journalism,Course provides overview of sports journalism and enhances students' skills.,3,track_elective,journalism,70,20,10,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,63.0,3.5,63.0,3.5,3.5,3.5,63.0,3.5
